creator;country of citizenship;educated at;lat_educated_at;lon_educated_at;place of birth;place of burial;place of death;sex or gender;fonte_educated_at;confianca_educated_at;observacoes_pesquisa;fonte_place_of_birth;confianca_place_of_birth;acervo;onde estudou;datas em que estudou;fonte_datas_estudo;confianca_preenchimento;lat_birth;lon_birth;score_birth;lat_death;lon_death;score_death
Alfredo Andersen;Brazil;"Academia de Belas-Artes de Cristiânia; Royal Danish Academy of Fine Arts";55.673588888889;12.599711111111;Kristiansand;;Curitiba;male;Wikipédia;;identificado como artista;;;"outros; MASP";"Cristiânia (Oslo); Copenhague";"c. 1877–1879; 1879–1883";Wikipédia;alta;58.1446946;7.9982841;100.0;-25.4283563;-49.2732515;100.0
Alfredo Ardia;Italy;"Bauhaus-Universität Weimar; Sibelius Academy; Conservatorio Rossini";43.90941;12.91018;Italy;;;male;site oficial do artista;alto;;site oficial (alfredoardia.com);médio;FILE;;;;;42.83333;12.83333;100.0;;;
Alfredo Nicolaievsky;;"Atelier Livre de Porto Alegre; Universidade Federal do Rio Grande do Sul";-30.032777777778;-51.23;Porto Alegre, Rio Grande do Sul, Brazil;;;;https://pt.wikipedia.org/wiki/Alfredo_Nicolaiewsky;;;UFRGS / Wikipédia;alto;"MAC; outros; MAC USP";"Porto Alegre, Brasil; Porto Alegre, Brasil";"desde a adolescência; 1976";https://pt.wikipedia.org/wiki/Alfredo_Nicolaiewsky;media;;;;;;
Alfredo Norfini;Brazil;Istituto di Belle Arti di Lucca;43.85;10.516666666667;Florence;;Rio de Janeiro;male;https://enciclopedia.itaucultural.org.br/pessoas/5415-alfredo-norfini;;;;;"outros; Museu Paulista";Lucca;;;media;43.7686976;11.2569291;100.0;-22.9014475;-43.1789159;100.0
Alfredo Volpi;Brazil;Escola Profissional Masculina do Brás;-23.54504;-46.61634;Lucca;;São Paulo;male;https://enciclopedia.itaucultural.org.br/pessoas/512-alfredo-volpi;;"instituição identificada; datas não localizadas";;;"MAC; outros; MAC USP";São Paulo, Brasil;;;media;43.8430139;10.507994;100.0;-23.5486657;-46.6382522;100.0
Alia Alharmi;United Arab Emirates;New York University Abu Dhabi;24.5239;54.4346;Dubai, United Arab Emirates;;;female;FILE Festival (biografia do artista);médio;;FILE Festival;alto;FILE;;;;;25.2674058;55.2926806;100.0;;;
Alice Jaunet;France;Supinfocom Rubika School;;;France;;;female;FILE Festival;médio;"FILE explicita “País de Origem: France”; preenchido em nível de país.";FILE Festival (País de Origem);alta;FILE;;;;alta;;;;;;
Alice Saey;France;Haute école des arts du Rhin (HEAR);48.5825;7.7591;Paris, France;;;female;HEAR (página institucional);alto;;La Courneuve / MacDowell;médio;FILE;;;;;48.856372814;2.352529617;100.0;;;
Aligi Sassu;Italy;"Accademia di Brera; Accademia Libera";"45.47222222; 43.771388888889";"9.18888889; 11.254166666667";Milan;;Pollença;male;https://sangiorgioarte.it/en/artisti/sassu-aligi/;;Fontes de biografia indicam passagem por Brera e, depois, pela Accademia Libera, sem datas exatas nesta passada.;;;"MAC; outros; MAC USP";"Milão, Itália; Milão, Itália";"c. 1920s; c. 1920s";;media;45.4636183;9.1881156;100.0;39.8777448;3.0172052;100.0
Aliénor Vallet;France;;;;Paris, France;;;female;;;;site oficial / FILE Festival;alto;FILE;;;;;48.856372814;2.352529617;100.0;;;
Alois Di Leo;Peru;National Film and Television School;51.6054;-0.6374;Lima;;;male;Semaine de la Critique (entrevista);médio;;;;FILE;;;;;-12.04318;-77.02824;100.0;;;
Alonso Pérez;Spain;formação acadêmica provável, sem instituição identificada nas fontes;;;Zaragoza;;;male;https://en.wikipedia.org/wiki/Alonso_P%C3%A9rez | https://prabook.com/web/alonso.perez/2572493;;"As fontes abertas apenas indicam que é 'believed that he received some academic training'; mantida formulação extremamente conservadora.";;;"outros; Museu Histórico Nacional";Espanha;antes de 1901;;baixa;41.656837;-0.8794245;100.0;;;
Aloísio Lucas de Siqueira;;;;;Serra Talhada, Pernambuco, Brazil;;;;https://hroficinadeartes.blogspot.com/2011/07/pintura-aloisio-lucas-siqueira.html;;;Google Arts & Culture;alto;"MAC; outros; MAC USP";Formação autodidata;;;media;;;;;;
Aloísio Magalhães;Brazil;"Universidade Federal de Pernambuco; curso de museologia; Atelier 17";"-8.0517328; ; 48.83972898207762";"-34.9507155; ; 2.3325339";Recife;;Padua;male;"https://pt.wikipedia.org/wiki/Alo%C3%ADsio_Magalh%C3%A3es; https://portal.iphan.gov.br/noticias/detalhes/3216";;O aperfeiçoamento em design gráfico nos EUA aparece sem instituição específica no trecho consultado.;;;"MAC; outros; MAC USP";"Recife, Brasil; Paris, França; Paris, França";"1950; 1951–1953; 1951–1953";https://pt.wikipedia.org/wiki/Alo%C3%ADsio_Magalh%C3%A3es;alta;-8.0551894;-34.871176;100.0;45.4095409;11.8765508;100.0
Alzira Fragoso;;;;;São Carlos, São Paulo, Brazil;;;;;;;MAC USP;alto;"MAC; outros; MAC USP";;;;;;;;;;
Alípio Dutra;Brazil;"Escola Complementar de Piracicaba; Academia Julian; Real Academia de Belas Artes de Bruxelas; Escola Nacional de Belas Artes de Paris";"-22.72915863999999; 50.844; 48.85666666666667";"-47.64438155000001; 4.3477; 2.333611111111112";Jaú;;São Paulo;male;https://pt.wikipedia.org/wiki/Al%C3%ADpio_Dutra | https://enciclopedia.itaucultural.org.br/pessoas/6462-alipio-dutra;;A cronologia europeia é particularmente clara nas fontes consultadas.;;;"outros; Museu Paulista";"Piracicaba; Paris; Bruxelas";"formação concluída em 1909; 1913-1914; 1918; 1921-1923";https://pt.wikipedia.org/wiki/Al%C3%ADpio_Dutra | https://enciclopedia.itaucultural.org.br/pessoas/6462-alipio-dutra;alta;-22.2962115;-48.5575955;100.0;-23.5486657;-46.6382522;100.0
Amador de Carvalho Perez;;MAM Rio de Janeiro (estudos com Aloísio Carvão e outros professores);-22.91375;-43.171805555556;Rio de Janeiro, Brazil;;;male;https://www.catalogodasartes.com.br/artista/Amador%20de%20Carvalho%20Perez%20-%20Amador%20Perez/ | https://www.youtube.com/%40amadordecarvalhoperez;;"O canal do artista informa também graduação em Projeto Gráfico pela Escola de Belas Artes; mantido o dado mais seguro no campo principal.";Catálogo das Artes;media;"MAC; outros; MAC USP";Rio de Janeiro, RJ;"antes da atuação expositiva; sem data exata na fonte";https://www.youtube.com/%40amadordecarvalhoperez;media;;;;;;
Amanda Varghese;India;American University of Sharjah;25.309722;55.490556;India;;;female;FILE Festival;médio;;FILE Festival (País de Origem);alta;FILE;;;;alta;;;;;;
Amber Xu;People's Republic of China;Shanghai University;31.316666666666666;121.38888888888889;China;;;female;Al-Tiba9 Contemporary Art;médio;;FILE Festival (País de Origem);alta;FILE;;;;alta;;;;;;
Amedeo Modigliani;Kingdom of Italy;"Accademia delle Arti del Disegno; estudos com Guglielmo Micheli; Accademia di Belle Arti di Firenze";43.776907;11.258475;Livorno;Père Lachaise Cemetery;Hôpital de la Charité;male;"https://en.wikipedia.org/wiki/Amedeo_Modigliani; https://www.britannica.com/biography/Amedeo-Modigliani";;;;;"MAC; outros; MAC USP";"Livorno, Itália; Florença, Itália";"1898; 1902";"https://en.wikipedia.org/wiki/Amedeo_Modigliani; https://www.britannica.com/biography/Amedeo-Modigliani";media;43.5518876;10.3078411;100.0;47.8674;5.3367;100.0
Americo Sposito;Uruguay;"escola italiana de Enzo Kabregú; Círculo de Bellas Artes de Montevideo; Taller Torres García";"-34.90591666666667; -34.90591666666667";"-56.19131111111111; -56.19131111111111";Montevideo;;;male;https://es.wikipedia.org/wiki/Am%C3%A9rico_Sp%C3%B3sito;;;;;"MAC; outros; MAC USP";"Montevidéu, Uruguai; Montevidéu, Uruguai; Montevidéu, Uruguai";"s.d.; s.d.; 1942";https://es.wikipedia.org/wiki/Am%C3%A9rico_Sp%C3%B3sito;media;-34.9055557;-56.1852505;100.0;;;
Amy Karle;United States;"Alfred University; Cornell University";"42.255555555556; 42.44916666666666";"-77.787527777778; -76.48388888888888";New York, USA;;;female;American Arts Incubator;médio;;Wikipedia / AMEI Magazine;médio;FILE;;;;;40.7130466;-74.0072301;100.0;;;
Amália Pasqualina Fernandes Filha;;Instituto de Artes da UFRGS;-30.0292;-51.2233;;;;;fontes biográficas de referência;;instituição identificada em fontes sumárias;;;"MAC; outros; MAC USP";Porto Alegre, Brasil;s.d.;fontes biográficas de referência;baixa;;;;;;
Amélia Toledo;Brazil;"University of Brasília; Ateliê de Anita Malfatti; estudos com Yoshiya Takaoka; estudos com Waldemar da Costa; Central School of Arts and Crafts";51.5189;-0.1207;São Paulo;;Cotia;female;"https://www.ameliatoledo.com/biografia; https://pt.wikipedia.org/wiki/Amelia_Toledo";;"Parte da formação ocorreu em ateliês; a data da escola em Londres não apareceu com precisão nas fontes vistas.";;;"MAC; outros; MAC USP";"São Paulo, Brasil; São Paulo, Brasil; São Paulo, Brasil; Londres, Reino Unido";"c. final dos anos 1930; c. 1940s; c. 1940s; s.d.";https://www.ameliatoledo.com/biografia;media;-23.5486657;-46.6382522;100.0;-23.6006667;-46.8973921;100.0
Amélie Nilles;France;Paris 8 University;48.944722222222;2.3633333333333;France;;;female;Kunstuniversität Linz / TAMLab;médio;"FILE explicita “País de Origem: France”; preenchido em nível de país.";FILE Festival (País de Origem);alta;FILE;;;;alta;;;;;;
Amílcar de Castro;Brazil;"Federal University of Minas Gerais; Faculdade de Direito da Universidade Federal de Minas Gerais; Escola de Belas Artes de Belo Horizonte";"-19.925667; -19.8690878";"-43.936686; -43.9663841";Paraisópolis;;Belo Horizonte;male;"Instituto Amílcar de Castro; Enciclopédia Itaú Cultural";;;;;"MAC; outros; MAC USP";"Belo Horizonte, Brasil; Belo Horizonte, Brasil";"1941–1945; desde 1944";"Instituto Amílcar de Castro; Guia das Artes";alta;-22.5494836;-45.7839767;100.0;-19.9181771;-43.9370534;100.0
Ana Lagator;Serbia;Faculty of Dramatic Arts, Belgrade;44.8146;20.4087;Serbia;;;female;FILE Festival;médio;"FILE explicita “País de Origem: Sérvia”; preenchido em nível de país.";FILE Festival (País de Origem);alta;FILE;;;;;;;;;;
Ana Mouyis;Cyprus;"Parsons The New School for Design; Pratt Institute";"40.73534; 40.691111";"-73.99704; -73.963889";New York, USA;;;female;site oficial da artista;alto;;Millennium Film Workshop (entrevista);alto;FILE;;;;;40.7130466;-74.0072301;100.0;;;
Ana Teixeira;;Faculdade de Arquitetura e Urbanismo da Universidade de São Paulo;-23.56012;-46.72985;Caçapava, São Paulo, Brazil;;;;fontes biográficas de referência;;;currículo / site oficial da artista;alto;"MAC; outros; MAC USP";São Paulo, Brasil;1980s;fontes biográficas de referência;media;;;;;;
Anabela Costa;Portugal;Lisbon Fine Arts University;38.70893;-9.14067;Lisbon, Portugal;;;female;monografia / Institut Français;médio;;FILE Festival / IFdigital;alto;FILE;;;;;38.7070085;-9.1356407;100.0;;;
Anaisa Franco;Brazil;"Fundação Armando Alvares Penteado; University of Plymouth";"-23.5450155; 50.374121";"-46.6630802; -4.138512";Minas Gerais;;;female;Enciclopédia Itaú Cultural;alto;;;;FILE;;;;;-18.456295297924;-44.673412162104;100.0;;;
Anastasia Melikhova;Russia;Ural State Academy of Architecture and Arts;56.83989;60.61183;Pyt-Yakh, Russia;;;female;FILE Festival;médio;;FILE Festival / Doha Film Institute;alto;FILE;;;;;60.74985;72.85824;100.0;;;
Anatol Wladyslaw;;;;;;;;;;;;;;;;;;;;;;;;
Ander Ugartemendia;Spain;autodidata;;;Spain;;;male;FILE Festival;médio;;FILE Festival (País de Origem);alta;FILE;;;;alta;;;;;;
Andrea Cristini;Italy;;;;;;;male;;;"local de nascimento não localizado em fonte auditável; biografias consultadas indicam nacionalidade e atuação, não local de nascimento";;;FILE;;;;;;;;;;
Andrea Familari;Italy;University of Pisa;43.716508333333;10.398458333333;Italy;;;male;CV/website oficial;alto;;site oficial (famifax.com) / FILE Festival;médio;FILE;;;;;42.83333;12.83333;100.0;;;
Andrea Mantegna;Republic of Venice;escola/oficina de Francesco Squarcione;;;Isola Mantegna;Basilica of Sant'Andrea;Mantua;male;https://en.wikipedia.org/wiki/Andrea_Mantegna;;;;;"outros; MASP";Pádua;"a partir dos 11 anos; antes de 1448";https://en.wikipedia.org/wiki/Andrea_Mantegna;alta;45.5706918;11.7335521;100.0;22.325912382819;-84.242471004414;100.0
Andreas Lutz;Germany;Offenburg University of Applied Sciences;48.4589;7.94278;Freiburg im Breisgau, Germany;;;male;CURRENTS New Media;médio;;CV oficial / Wikipedia;alto;FILE;;;;;47.994785999;7.849876999;100.0;;;
Andreas Nicolas Fischer;Germany;Berlin University of the Arts;52.509166666666665;13.326944444444445;Munich, Germany;;;male;Studio ANF (site oficial);alto;;IDN World / Sedition;médio;FILE;;;;;48.143438999;11.573599;100.0;;;
Andressa Hadig Haidar;Brazil;Universidade de Fortaleza (UNIFOR);-3.7687753;-38.478061;Brazil;;;female;FILE Festival (biografia do artista);médio;;FILE Festival (País de Origem);alta;FILE;;;;alta;;;;;;
Andrew Ellis Johnson;United States;"State University of New York at Buffalo; School of the Art Institute of Chicago; Carnegie Mellon University";43;-78.78916666666667;Cortland, New York, USA;;;male;Carnegie Mellon University;alto;;site oficial / SUNY Cortland;alto;FILE;;;;;42.601213;-76.180483;100.0;;;
Andrew Wilson;;"Ringling College of Art and Design; CG Master Academy";34.05223;-118.24368;United States;;;;Zerply;médio;"FILE explicita “País de Origem: United States”; preenchido em nível de país.";FILE Festival (País de Origem);alta;FILE;;;;alta;;;;;;
André Berlemont;France;;;;France;;;male;;;;FILE Festival (País de Origem);alta;FILE;;;;alta;;;;;;
André Figurey;France;"École des Beaux-Arts de Lyon; ateliês de gravura em Paris";"45.768055555556; 48.85666666666667";"4.8172222222222; 2.352222222222222";Lyon;;Barbacena;male;https://fr.wikipedia.org/wiki/Andr%C3%A9_Figurey;;Formação reconstruída a partir de fontes biográficas abertas francesas.;;;"outros; Museu Paulista";"Lyon; Paris";;;media;45.767634724;4.835037488;100.0;-21.2264611;-43.7740274;100.0
André Lhote;France;école des beaux-arts de Bordeaux;44.83111111111111;-0.5611111111111111;Bordeaux;Montparnasse Cemetery;Paris;male;Wikipédia;;identificado como artista;;;"MAC; outros; MAC USP";Bordeaux;1898–1904;Wikipédia;alta;44.837898313;-0.579380299;100.0;48.856372814;2.352529617;100.0
André Masson;;;;;;;;;;;;;;;;;;;;;;;;
André-Charles Voillemot;France;aluno de Michel Martin Drolling;;;Paris;;Paris;male;https://fr.wikipedia.org/wiki/Andr%C3%A9-Charles_Voillemot;;A fonte recuperada informa o mestre, mas não detalha cronologia formativa.;;;"outros; Museu Nacional de Belas Artes";Paris;;;media;48.856372814;2.352529617;100.0;48.856372814;2.352529617;100.0
Angela Stempel;United States;"Tufts University; School of the Museum of Fine Arts at Tufts";"42.406949; 42.3386";"-71.11982; -71.0968";San Francisco, California, USA;;;female;FILE Festival (biografia do artista);médio;;The Bureau / FILE Festival;alto;FILE;;;;;37.7800771;-122.4201615;100.0;;;
Angelina Agostini;Brazil;"Escola Nacional de Belas Artes; Escola Nacional de Belas Artes (Enba); ateliê de Henrique Bernardelli";-22.90879805555556;-43.17573111111111;Rio de Janeiro;;Rio de Janeiro;female;https://pt.wikipedia.org/wiki/Angelina_Agostini | https://enciclopedia.itaucultural.org.br/pessoas/6491-angelina-agostini;;Os estudos iniciais com o pai Angelo Agostini aparecem na fonte complementar.;;;"outros; Museu Histórico Nacional";"Rio de Janeiro; Londres";"1906-1911; a partir de 1911";https://pt.wikipedia.org/wiki/Angelina_Agostini | https://enciclopedia.itaucultural.org.br/pessoas/6491-angelina-agostini;alta;-22.9014475;-43.1789159;100.0;-22.9014475;-43.1789159;100.0
Angelo Agostini;Brazil;Escola de Belas Artes;;;Vercelli;;Rio de Janeiro;male;"https://nanquim.com.br/angelo-agostini-1843-1910/; https://nacao.net/2006/01/30/angelo-agostini-1843-1910/";;"Preenchimento baseado em biografias de referência sobre o caricaturista; falta confirmação institucional mais específica.";;;"outros; Museu Histórico Nacional";Paris, França;c. década de 1850;https://nanquim.com.br/angelo-agostini-1843-1910/;baixa;45.3211114;8.4262359;100.0;-22.9014475;-43.1789159;100.0
Angelo da Silva Romão;;;;;;;;male;;;identificação localizada, mas formação não localizada com segurança;;;"outros; Museu Nacional de Belas Artes";;;;;;;;;;
Angelo Dall'Oca Bianca;Kingdom of Italy;Accademia Cignaroli;45.43479753250506;10.9929983708197;Verona;Verona;Verona;male;https://en.wikipedia.org/wiki/Angelo_Dall%27Oca_Bianca;;As fontes também associam a formação a Napoleone Nani.;;;"outros; Museu Nacional de Belas Artes";Verona;;;media;45.4383527;10.9917125;100.0;45.4383527;10.9917125;100.0
Anita Malfatti;Brazil;"Mackenzie Presbyterian University; Escola Americana; Mackenzie College; Academia de Belas Artes de Berlim";"-16.68055555555556; -23.54564; 52.516666666667";"-49.25638888888889; -46.652302; 13.383333333333";São Paulo;;São Paulo;female;https://pt.wikipedia.org/wiki/Anita_Malfatti;;"instituição em Berlim identificada; data precisa não localizada";;;"MAC; outros; MAC USP";"São Paulo, Brasil; São Paulo, Brasil; Berlim, Alemanha";"1903; 1906;";https://pt.wikipedia.org/wiki/Anita_Malfatti;media;-23.5486657;-46.6382522;100.0;-23.5486657;-46.6382522;100.0
Anna Barros;;"Otis Art Institute; Escola de Comunicações e Artes da USP";"33.956611; -23.55833333";"-118.417135; -46.72694444";São Paulo, São Paulo, Brazil;;;;https://enciclopedia.itaucultural.org.br/pessoas/8485-anna-barros;;graduação em artes plásticas e mestrado em artes;Enciclopédia Itaú Cultural;alta;"MAC; outros; MAC USP";"Los Angeles, EUA; São Paulo, Brasil";"1984; 1990";https://enciclopedia.itaucultural.org.br/pessoas/8485-anna-barros;alta;;;;;;
Anna Beata Baranska;Poland;Maria Curie-Skłodowska University in Lublin;51.2425;22.5405;Ilza, Poland;;;female;FILE Festival;médio;;site oficial da artista / FILE Festival;alto;FILE;;;;;51.16365665;21.236986846;100.0;;;
Anna Eyler;Canada;"Carleton University; University of Ottawa; Algonquin College; Concordia University";45.346936111111;-75.759386111111;Canada;;;female;Université du Québec en Outaouais;alto;;FILE Festival (País de Origem);alta;FILE;;;;alta;;;;;;
Anna Leterq;France;Lycée René Descartes;11.575;104.91972222;France;;;female;FILE Festival;médio;;FILE Festival (País de Origem);alta;FILE;;;;alta;;;;;;
Anna Salvatore;Italy;Accademia di Belle Arti di Napoli;40.8516;14.2512;Rome;;Rome;female;fontes biográficas de referência;;"instituição identificada; datas não localizadas com precisão";;;"MAC; outros; MAC USP";Nápoles, Itália;s.d.;fontes biográficas de referência;media;41.8905568;12.4942679;100.0;41.8905568;12.4942679;100.0
