creator;country of citizenship;educated at;lat_educated_at;lon_educated_at;place of birth;place of burial;place of death;sex or gender;fonte_educated_at;confianca_educated_at;observacoes_pesquisa;fonte_place_of_birth;confianca_place_of_birth;acervo;onde estudou;datas em que estudou;fonte_datas_estudo;confianca_preenchimento;lat_birth;lon_birth;score_birth;lat_death;lon_death;score_death;fonte_place_of_death;fonte_lat_death;fonte_lon_death;observacoes_place_of_death;confianca_place_of_death
Alejandro Cicarelli;Chile;Instituto de Bellas Artes de Nápoles> estudos em Roma;40.8516> 41.893055555556;14.2512> 12.482777777778;Naples;;Santiago;male;https://es.wikipedia.org/wiki/Alejandro_Cicarelli;;;Wikidata;alta;Pinacoteca de São Paulo;Nápoles, Itália> Roma, Itália;s.d.> s.d.;https://es.wikipedia.org/wiki/Alejandro_Cicarelli;media;40.8399833;14.2525421;100.0;-33.4459946;-70.6670569;100.0;Artistas Visuales Chilenos / MNBA;Wikidata: Santiago;Wikidata: Santiago;local de morte validado em fonte institucional chilena;alta
Alejandro Thornton;Argentina;National School of Fine Arts Prilidiano Pueyrredon;-34.59171466023074;-58.39131357322754;Buenos Aires;;;male;;;;Wikidata;alta;FILE;;;;;-34.6090264;-58.3732215;100.0;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Aleksander Kobzdej;Poland;Jan Matejko Academy of Fine Arts in Krakow> Academy of Fine Arts in Kraków;50.066389> 50.066389;19.941667> 19.941667;Olesko;Powązki Military Cemetery;Warsaw;male;biografia institucional do artista> fontes de referência;;datas aproximadas;Wikidata;alta;MAC USP;Cracóvia, Polônia;c. 1946–1951;biografia institucional do artista> fontes de referência;media;50.48064272;14.196104789;100.0;52.229827082;21.011731518;100.0;Culture.pl;Wikidata: Warsaw;Wikidata: Warsaw;;alta
Alessandra Plaza Saravia;Peru;Pontificia Universidad Católica del Perú> Universität der Künste Berlin;-12.06944444444444> 52.50916666666667;-77.07944444444445> 13.32694444444444;Lima;;;female;PUCP (perfil docente)> Decolonize Modul21;alto;;Wikidata;alta;FILE;;;;;-12.04318;-77.02824;100.0;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Alessandro Amaducci;Italy;Università degli Studi di Torino;45.069444444444;7.6888888888889;Torino, Italy;;;male;Università degli Studi di Torino;alto;;site oficial / FILE Festival;alto;FILE;;;;;45.0683751;7.6830662;100.0;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Alessandro Massobrio;Italy;Istituto di Musica G. Verdi di Asti> University of Turin> C.I.B.R.A., University of Pavia;44.9;8.2069444444444;Torino, Italy;;;male;site oficial do artista | Symby;médio;;Artribune / Sinewaves;médio;FILE;;;;;45.0683751;7.6830662;100.0;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Alessandro Varotari;Republic of Venice;formação com o pai Dario Varotari the Elder;45.4078> 45.431078;11.8733> 12.328139;Padua;;Venice;male;https://en.wikipedia.org/wiki/Alessandro_Varotari | https://www.britannica.com/biography/Padovanino;;Também conhecido como Padovanino.;Wikidata;alta;Museu Nacional de Belas Artes;Pádua> Veneza;;;media;45.4095409;11.8765508;100.0;45.434608;12.338913;100.0;Treccani;Wikidata: Venice;Wikidata: Venice;fontes divergem no ano (1648/1649), mas convergem em Veneza;media
Alessio De Vecchi;Italy;Istituto Europeo di Design;45.44625233345661;9.194896909398269;Milan, Italy;;;male;FILE Festival;médio;;FILE Festival / WUF Magazine;alto;FILE;;;;;45.4636183;9.1881156;100.0;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Alex Flemming;Brazil;Curso Livre de Cinema da Fundação Armando Álvares Penteado (FAAP)> Faculdade de Arquitetura e Urbanismo da USP> estudos de serigrafia e gravura com Regina Silveira, Julio Plaza e Romildo Paiva> Pratt Institute Manhattan;-23.56012;-46.72985;São Paulo;;;male;https://alexflemming.com.br/alexflemming/> https://www.ieb.usp.br/alex-flemming/> https://pt.wikipedia.org/wiki/Alex_Flemming;;Formação combinou curso livre, passagem universitária e estudos técnicos com artistas-professores.;Wikidata;alta;MAC USP;São Paulo, Brasil> São Paulo, Brasil> São Paulo, Brasil> Nova Iorque, Estados Unidos;1972–1974> até 1976> 1979–1980> 1981–1983;https://alexflemming.com.br/alexflemming/> https://www.ieb.usp.br/alex-flemming/;alta;-23.5486657;-46.6382522;100.0;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Alex Moy;United States;DePaul University;41.923558;-87.653542;United States;;;male;FILE Festival;médio;;FILE Festival (País de Origem);alto;FILE;;;;;39.398703156;-99.41461919;100.0;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Alexandre Cabanel;France;Beaux-Arts de Paris> Montpellier School of Fine Arts> École des Beaux-Arts de Paris> Villa Medici;43.61755318089179> 41.908333333333;3.884139069434952> 12.4825;Montpellier;cemetery Saint-Lazare (Montpellier);Paris;male;https://en.wikipedia.org/wiki/Alexandre_Cabanel;;;Wikidata;alta;Museu Nacional de Belas Artes;Montpellier> Paris> Roma;1839> 1840> 1845-1850;https://en.wikipedia.org/wiki/Alexandre_Cabanel;alta;43.598499355;3.896845979;100.0;48.856372814;2.352529617;100.0;Musée d'Orsay;Wikidata: Paris;Wikidata: Paris;;alta
Alexandre Cruz (Sesper);Brazil;;;;Santos, São Paulo, Brazil;;;male;;;biografias localizadas neste lote não informam formação;Itaú Cultural;alto;MAC USP;;;;;-23.9562885;-46.3264601;;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Alexandre Estebanez;United States;;;;United States;;;male;;;biografias localizadas neste lote informam atuação profissional, sem formação explícita;FILE Festival (País de Origem);alto;FILE;;;;;39.398703156;-99.41461919;100.0;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Alexandre Mário Parko;;formação acadêmica em São Paulo> instituição não identificada na fonte aberta consultada;-23.550394444444;-46.633947222222;;;;male;https://www.catalogodasartes.com.br/;;Dados insuficientes para nomear escola oficial> mantido em formulação prudente.;;;Museu Histórico Nacional;São Paulo;;;baixa;;;;;;;;;;não localizei fonte auditável suficiente sobre local de morte nesta rodada;
Alexandre Veaux;France;Supinfocom – RUBIKA;50.35805555555555;3.523333333333333;France;;;male;portfólio oficial do artista> FILE Festival;alto;;FILE Festival (País de Origem);alta;FILE;;;;alta;46.559417044;2.550539953;100.0;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Alexandre Wollner;Brazil;Instituto de Arte Contemporânea do Museu de Arte de São Paulo> Hochschule für Gestaltung Ulm;-23.56111111111111> 48.3806;-46.65583333333333> 9.95278;São Paulo;;São Paulo;male;https://pt.wikipedia.org/wiki/Alexandre_Wollner> https://enciclopedia.itaucultural.org.br/instituicoes/75180-hochschule-fur-gestaltung-ulm-hfg;;instituições identificadas> datas não localizadas;Wikidata;alta;MAC USP;São Paulo, Brasil> Ulm, Alemanha;;;media;-23.5486657;-46.6382522;100.0;-23.550394;-46.633947;100.0;Enciclopédia Itaú Cultural;Wikidata: São Paulo;Wikidata: São Paulo;;alta
Alexis Marie Lahaye;France;atelier de Carolus-Duran;48.85666666666667;2.333611111111112;Paris;;Nîmes;male;https://fr.wikipedia.org/wiki/Alexis_Marie_Lahaye;;A formação recuperada é em ateliê, não em academia formal explicitada na fonte consultada.;Wikidata;alta;Museu Nacional de Belas Artes;Paris;;;media;48.856372814;2.352529617;100.0;43.83665;4.35788;100.0;Wikipedia fr;Geodatos: Nîmes;Geodatos: Nîmes;;media
Alfonso Pretelt;Colombia;University of Barcelona;41.386666666667;2.1638888888889;Bogotá, Colombia;;;male;site do artista;médio;;Sonic Matter / Intermediaciones;alto;FILE;;;;;4.6068824;-74.071837;100.0;;;;;;;"artista em atividade em fonte recente; sem óbito identificado";
Alfred Leslie;United States;New York University> Art Students League> Pratt Institute;40.73> 40.766083333333> 40.691111;-73.995> -73.980861111111> -73.963889;New York City;;Brooklyn;male;https://ngabiographies.org/biographies/alfredleslie> https://en.wikipedia.org/wiki/Alfred_Leslie;;Datas da Pratt Institute não apareceram com precisão nas fontes revisadas.;Wikidata;alta;MAC USP;Nova York, EUA> Nova York, EUA> Nova York, EUA;c. 1946> 1947–1949> s.d.;https://ngabiographies.org/biographies/alfredleslie;media;40.7130466;-74.0072301;100.0;40.692529;-73.990996;100.0;"Janet Borden; ArtDaily";Wikidata: Brooklyn;Wikidata: Brooklyn;;media
Alfred Manessier;France;Beaux-Arts de Paris> Amiens Higher School of Art and Design;49.891944444444;2.2977777777778;Saint-Ouen;Saint-Ouen;Orléans;male;MAC_consolidado_normalized.csv / enriched_batch1.csv;;dados recuperados de base auxiliar> datas não localizadas;Wikidata;alta;MAC USP;Paris, França> Amiens, França;;;alta;49.237305387922;-2.21881450916;100.0;47.902857326;1.909331693;100.0;Museo Nacional Thyssen-Bornemisza;Wikidata: Orléans;Wikidata: Orléans;;alta
Alfred Sisley;United Kingdom of Great Britain and Ireland;Beaux-Arts de Paris> Atelier de Marc-Charles-Gabriel Gleyre, École des Beaux-Arts;48.85666666666667;2.333611111111112;former 4th arrondissement of Paris;Moret-sur-Loing;Moret-sur-Loing;male;Wikipédia;;formação no ateliê de Gleyre;Wikidata;alta;Museu Nacional de Belas Artes;Paris;1862–1863;Wikipédia;media;48.8561982;2.3556748;88.0;48.3738888889;2.815;86.04;"Tate; Musée d’Orsay";Wikidata Q839537;Wikidata Q839537;local ajustado de cemitério para cidade do óbito;alta
Alfredo Andersen;Brazil;Academia de Belas-Artes de Cristiânia> Royal Danish Academy of Fine Arts;55.673588888889;12.599711111111;Kristiansand;;Curitiba;male;Wikipédia;;identificado como artista;Wikidata;alta;MASP;Cristiânia (Oslo)> Copenhague;c. 1877–1879> 1879–1883;Wikipédia;alta;58.1446946;7.9982841;100.0;-25.4297222222;-49.2719444444;100.0;"Museu Casa Alfredo Andersen; Itaú Cultural";Wikidata Q4361;Wikidata Q4361;;alta
Alfredo Ardia;Italy;Bauhaus-Universität Weimar> Sibelius Academy> Conservatorio Rossini;43.90941;12.91018;Italy;;;male;site oficial do artista;alto;;site oficial (alfredoardia.com);médio;FILE;;;;;42.83333;12.83333;100.0;;;;;;;"atividade recente em site autoral/FILE; sem fonte auditável de óbito";
Alfredo Nicolaievsky;Brazil;Atelier Livre de Porto Alegre> Universidade Federal do Rio Grande do Sul;-30.032777777778;-51.23;Porto Alegre, Rio Grande do Sul, Brazil;;;male;https://pt.wikipedia.org/wiki/Alfredo_Nicolaiewsky;;;UFRGS / Wikipédia;alto;MAC USP;Porto Alegre, Brasil> Porto Alegre, Brasil;desde a adolescência> 1976;https://pt.wikipedia.org/wiki/Alfredo_Nicolaiewsky;media;-30.027679;-51.2286404;;;;;;;;"atividade/exposições recentes; sem fonte auditável de óbito";
Alfredo Norfini;Brazil;Istituto di Belle Arti di Lucca;43.85;10.516666666667;Florence;;Rio de Janeiro;male;https://enciclopedia.itaucultural.org.br/pessoas/5415-alfredo-norfini;;;Wikidata;alta;Museu Paulista;Lucca;;;media;43.7686976;11.2569291;100.0;-22.9111111111;-43.2055555556;100.0;"Enciclopédia Itaú Cultural; UFRGS Pinacoteca Barão de Santo Ângelo";Wikidata Q8678;Wikidata Q8678;;alta
Alfredo Volpi;Brazil;Escola Profissional Masculina do Brás;-23.54504;-46.61634;Lucca;;São Paulo;male;https://enciclopedia.itaucultural.org.br/pessoas/512-alfredo-volpi;;instituição identificada> datas não localizadas;Wikidata;alta;MAC USP;São Paulo, Brasil;;;media;43.8430139;10.507994;100.0;-23.5503944444;-46.6339472222;100.0;Enciclopédia Itaú Cultural;Wikidata Q174;Wikidata Q174;;alta
Alia Alharmi;United Arab Emirates;New York University Abu Dhabi;24.5239;54.4346;Dubai, United Arab Emirates;;;female;FILE Festival (biografia do artista);médio;;FILE Festival;alto;FILE;;;;;25.2674058;55.2926806;100.0;;;;;;;"bio recente/atividade profissional; sem fonte auditável de óbito";
Alice Jaunet;France;Supinfocom Rubika School;50.357856469;3.524197715;France;;;female;FILE Festival;médio;FILE explicita “País de Origem: France”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;alta;46.559417044;2.550539953;100.0;;;;;;;"atividade recente como artista 3D; sem fonte auditável de óbito";
Alice Saey;France;Haute école des arts du Rhin (HEAR);48.5825;7.7591;Paris, France;;;female;HEAR (página institucional);alto;;La Courneuve / MacDowell;médio;FILE;;;;;48.856372814;2.352529617;100.0;;;;;;;"site autoral ativo; sem fonte auditável de óbito";
Aligi Sassu;Italy;Accademia di Brera> Accademia Libera;45.47222222> 43.771388888889;9.18888889> 11.254166666667;Milan;;Pollença;male;https://sangiorgioarte.it/en/artisti/sassu-aligi/;;Fontes de biografia indicam passagem por Brera e, depois, pela Accademia Libera, sem datas exatas nesta passada.;Wikidata;alta;MAC USP;Milão, Itália> Milão, Itália;c. 1920s> c. 1920s;;media;45.4636183;9.1881156;100.0;39.8767805556;3.0162611111;100.0;Treccani;Wikidata Q23982870;Wikidata Q23982870;;alta
Aliénor Vallet;France;estudos em ciências humanas e sociais> formação em realização audiovisual e criação de vídeo para espetáculo ao vivo;;;Paris, France;;;female;https://alienorvallet.jimdofree.com/en/bio-cv/;media;a fonte informa áreas de estudo e formação, mas não nomeia instituições;site oficial / FILE Festival;alto;FILE;;;;media;48.856372814;2.352529617;100.0;;;;;;;"agenda recente no site autoral; sem fonte auditável de óbito";
Alois Di Leo;Peru;National Film and Television School;51.6054;-0.6374;Lima;;;male;Semaine de la Critique (entrevista);médio;;Wikidata;alta;FILE;;;;;-12.04318;-77.02824;100.0;;;;;;;"site autoral em atividade; sem fonte auditável de óbito";
Alonso Pérez;Spain;formação acadêmica provável, sem instituição identificada nas fontes;;;Zaragoza;;;male;https://en.wikipedia.org/wiki/Alonso_P%C3%A9rez | https://prabook.com/web/alonso.perez/2572493;;As fontes abertas apenas indicam que é 'believed that he received some academic training'> mantida formulação extremamente conservadora.;Wikidata;alta;Museu Histórico Nacional;Espanha;antes de 1901;;baixa;41.656837;-0.8794245;100.0;;;;;;;"fontes secundárias divergentes inclusive sobre ano de morte; local não confirmado";
Aloísio Lucas de Siqueira;Brazil;autodidata;-7.9829;-38.2898;Serra Talhada, Pernambuco, Brazil;;;male;https://hroficinadeartes.blogspot.com/2011/07/pintura-aloisio-lucas-siqueira.html;baixa;fonte aberta localizada indica percurso autodidata, sem instituição formal nomeada;Google Arts & Culture;alto;MAC USP;Formação autodidata;;;baixa;-7.9829;-38.2898;;;;;;;;sem fonte auditável suficiente para local de morte;
Aloísio Magalhães;Brazil;Universidade Federal de Pernambuco> curso de museologia> Atelier 17;-8.0517328> > 48.83972898207762;-34.9507155> > 2.3325339;Recife;;Padua;male;https://pt.wikipedia.org/wiki/Alo%C3%ADsio_Magalh%C3%A3es> https://portal.iphan.gov.br/noticias/detalhes/3216;;O aperfeiçoamento em design gráfico nos EUA aparece sem instituição específica no trecho consultado.;Wikidata;alta;MAC USP;Recife, Brasil> Paris, França> Paris, França;1950> 1951–1953> 1951–1953;https://pt.wikipedia.org/wiki/Alo%C3%ADsio_Magalh%C3%A3es;alta;-8.0551894;-34.871176;100.0;45.4077777778;11.8733333333;100.0;Fundaj;Wikidata Q617;Wikidata Q617;;alta
Alzira Fragoso;Brazil;;;;São Carlos, São Paulo, Brazil;;;female;;;pesquisa deste lote não localizou fonte auditável suficiente sobre formação;MAC USP;alto;MAC USP;;;;;-22.0174;-47.8908;;;;;;;;"site autoral ativo; sem fonte auditável de óbito";
Alípio Dutra;Brazil;Escola Complementar de Piracicaba> Academia Julian> Real Academia de Belas Artes de Bruxelas> Escola Nacional de Belas Artes de Paris;-22.72915863999999> 50.844> 48.85666666666667;-47.64438155000001> 4.3477> 2.333611111111112;Jaú;;São Paulo;male;https://pt.wikipedia.org/wiki/Al%C3%ADpio_Dutra | https://enciclopedia.itaucultural.org.br/pessoas/6462-alipio-dutra;;A cronologia europeia é particularmente clara nas fontes consultadas.;Wikidata;alta;Museu Paulista;Piracicaba> Paris> Bruxelas;formação concluída em 1909> 1913-1914> 1918> 1921-1923;https://pt.wikipedia.org/wiki/Al%C3%ADpio_Dutra | https://enciclopedia.itaucultural.org.br/pessoas/6462-alipio-dutra;alta;-22.2962115;-48.5575955;100.0;-23.5503944444;-46.6339472222;100.0;Enciclopédia Itaú Cultural;Wikidata Q174;Wikidata Q174;;alta
Amador de Carvalho Perez;Brazil;MAM Rio de Janeiro (estudos com Aloísio Carvão e outros professores);-22.91375;-43.171805555556;Rio de Janeiro, Brazil;;;male;https://www.catalogodasartes.com.br/artista/Amador%20de%20Carvalho%20Perez%20-%20Amador%20Perez/ | https://www.youtube.com/%40amadordecarvalhoperez;;O canal do artista informa também graduação em Projeto Gráfico pela Escola de Belas Artes> mantido o dado mais seguro no campo principal.;Catálogo das Artes;media;MAC USP;Rio de Janeiro, RJ;antes da atuação expositiva> sem data exata na fonte;https://www.youtube.com/%40amadordecarvalhoperez;media;-22.9014475;-43.1789159;;;;;;;;"atividade expositiva recente; sem fonte auditável de óbito";
Amanda Varghese;India;American University of Sharjah;25.309722;55.490556;India;;;female;FILE Festival;médio;;FILE Festival (País de Origem);alta;FILE;;;;alta;20.593684;78.96288;;;;;;;;"bio recente de estudante/artista; sem fonte auditável de óbito";
Amber Xu;People's Republic of China;Shanghai University;31.316666666666666;121.38888888888889;China;;;female;Al-Tiba9 Contemporary Art;médio;;FILE Festival (País de Origem);alta;FILE;;;;alta;36.567348398;103.930027033;100.0;;;;;;;"site autoral ativo; sem fonte auditável de óbito";
Amedeo Modigliani;Kingdom of Italy;Accademia delle Arti del Disegno> estudos com Guglielmo Micheli> Accademia di Belle Arti di Firenze;43.776907;11.258475;Livorno;Père Lachaise Cemetery;Paris;male;https://en.wikipedia.org/wiki/Amedeo_Modigliani> https://www.britannica.com/biography/Amedeo-Modigliani;;;Wikidata;alta;MAC USP;Livorno, Itália> Florença, Itália;1898> 1902;https://en.wikipedia.org/wiki/Amedeo_Modigliani> https://www.britannica.com/biography/Amedeo-Modigliani;media;43.5518876;10.3078411;100.0;48.8566666667;2.3522222222;100.0;Britannica;Wikidata Q90;Wikidata Q90;local normalizado de hospital para cidade do óbito;alta
Americo Sposito;Uruguay;escola italiana de Enzo Kabregú> Círculo de Bellas Artes de Montevideo> Taller Torres García;-34.90591666666667> -34.90591666666667;-56.19131111111111> -56.19131111111111;Montevideo;;Montevideo;male;https://es.wikipedia.org/wiki/Am%C3%A9rico_Sp%C3%B3sito;;;Wikidata;alta;MAC USP;Montevidéu, Uruguai> Montevidéu, Uruguai> Montevidéu, Uruguai;s.d.> s.d.> 1942;https://es.wikipedia.org/wiki/Am%C3%A9rico_Sp%C3%B3sito;media;-34.9055557;-56.1852505;100.0;-34.9058333333;-56.1913888889;100.0;Museo Nacional de Artes Visuales (Uruguai);Wikidata Q1335;Wikidata Q1335;;alta
